Year,Period,Unemployment Rate,1-Month Percent Change,3-Month Change,12-Month Change
2010,M04,9.9,0,1,10
2010,M05,9.6,-3,-2,2.1
2010,M06,9.4,-2.1,-5.1,-1.1
2010,M07,9.4,0,-5.1,-1.1
2010,M08,9.5,1.1,-1,-1
2010,M09,9.5,0,1.1,-3.1
2010,M10,9.4,-1.1,0,-6
2010,M11,9.8,4.3,3.2,-1
2010,M12,9.3,-5.1,-2.1,-6.1
2011,M01,9.1,-2.2,-3.2,-7.1
2011,M02,9,-1.1,-8.2,-8.2
2011,M03,9,0,-3.2,-9.1
2011,M04,9.1,1.1,0,-8.1
2011,M05,9,-1.1,0,-6.3
2011,M06,9.1,1.1,1.1,-3.2
2011,M07,9,-1.1,-1.1,-4.3
2011,M08,9,0,0,-5.3
2011,M09,9,0,-1.1,-5.3
2011,M10,8.8,-2.2,-2.2,-6.4
2011,M11,8.6,-2.3,-4.4,-12.2
2011,M12,8.5,-1.2,-5.6,-8.6
2012,M01,8.3,-2.4,-5.7,-8.8
2012,M02,8.3,0,-3.5,-7.8
2012,M03,8.2,-1.2,-3.5,-8.9
2012,M04,8.2,0,-1.2,-9.9
2012,M05,8.2,0,-1.2,-8.9
2012,M06,8.2,0,0,-9.9
2012,M07,8.2,0,0,-8.9
2012,M08,8.1,-1.2,-1.2,-10
2012,M09,7.8,-3.7,-4.9,-13.3
2012,M10,7.8,0,-4.9,-11.4
2012,M11,7.7,-1.3,-4.9,-10.5
2012,M12,7.9,2.6,1.3,-7.1
2013,M01,8,1.3,2.6,-3.6
2013,M02,7.7,-3.8,0,-7.2
2013,M03,7.5,-2.6,-5.1,-8.5
2013,M04,7.6,1.3,-5,-7.3
2013,M05,7.5,-1.3,-2.6,-8.5
2013,M06,7.5,0,0,-8.5
2013,M07,7.3,-2.7,-3.9,-11
2013,M08,7.2,-1.4,-4,-11.1
2013,M09,7.2,0,-4,-7.7
2013,M10,7.2,0,-1.4,-7.7
2013,M11,6.9,-4.2,-4.2,-10.4
2013,M12,6.7,-2.9,-6.9,-15.2
2014,M01,6.6,-1.5,-8.3,-17.5
2014,M02,6.7,1.5,-2.9,-13
2014,M03,6.7,0,0,-10.7
2014,M04,6.2,-7.5,-6.1,-18.4
2014,M05,6.3,1.6,-6,-16
2014,M06,6.1,-3.2,-9,-18.7
2014,M07,6.2,1.6,0,-15.1
2014,M08,6.1,-1.6,-3.2,-15.3
2014,M09,5.9,-3.3,-3.3,-18.1
2014,M10,5.7,-3.4,-8.1,-20.8
2014,M11,5.8,1.8,-4.9,-15.9
2014,M12,5.6,-3.4,-5.1,-16.4
2015,M01,5.7,1.8,0,-13.6
2015,M02,5.5,-3.5,-5.2,-17.9
2015,M03,5.4,-1.8,-3.6,-19.4
2015,M04,5.4,0,-5.3,-12.9
2015,M05,5.6,3.7,1.8,-11.1
2015,M06,5.3,-5.4,-1.9,-13.1
2015,M07,5.2,-1.9,-3.7,-16.1
2015,M08,5.1,-1.9,-8.9,-16.4
2015,M09,5,-2,-5.7,-15.3
2015,M10,5,0,-3.8,-12.3
2015,M11,5.1,2,0,-12.1
2015,M12,5,-2,0,-10.7
2016,M01,4.9,-2,-2,-14
2016,M02,4.9,0,-3.9,-10.9
2016,M03,5,2,0,-7.4
2016,M04,5,0,2,-7.4
2016,M05,4.8,-4,-2,-14.3
2016,M06,4.9,2.1,-2,-7.5
2016,M07,4.8,-2,-4,-7.7
2016,M08,4.9,2.1,2.1,-3.9
2016,M09,5,2,2,0
2016,M10,4.9,-2,2.1,-2
2016,M11,4.7,-4.1,-4.1,-7.8
2016,M12,4.7,0,-6,-6
2017,M01,4.7,0,-4.1,-4.1
2017,M02,4.7,0,0,-4.1
2017,M03,4.4,-6.4,-6.4,-12
2017,M04,4.4,0,-6.4,-12
2017,M05,4.4,0,-6.4,-8.3
2017,M06,4.3,-2.3,-2.3,-12.2
2017,M07,4.3,0,-2.3,-10.4
2017,M08,4.4,2.3,0,-10.2
2017,M09,4.2,-4.5,-2.3,-16
2017,M10,4.1,-2.4,-4.7,-16.3
2017,M11,4.2,2.4,-4.5,-10.6
2017,M12,4.1,-2.4,-2.4,-12.8
2018,M01,4.1,0,0,-12.8
2018,M02,4.1,0,-2.4,-12.8
2018,M03,4,-2.4,-2.4,-9.1
2018,M04,3.9,-2.5,-4.9,-11.4
2018,M05,3.8,-2.6,-7.3,-13.6
2018,M06,4,5.3,0,-7
2018,M07,3.9,-2.5,0,-9.3
2018,M08,3.8,-2.6,0,-13.6
2018,M09,3.7,-2.6,-7.5,-11.9
2018,M10,3.8,2.7,-2.6,-7.3
2018,M11,3.7,-2.6,-2.6,-11.9
2018,M12,3.9,5.4,5.4,-4.9
2019,M01,4,2.6,5.3,-2.4
2019,M02,3.8,-5,2.7,-7.3
2019,M03,3.8,0,-2.6,-5
2019,M04,3.6,-5.3,-10,-7.7
2019,M05,3.6,0,-5.3,-5.3
2019,M06,3.7,2.8,-2.6,-7.5
2019,M07,3.7,0,2.8,-5.1
2019,M08,3.7,0,2.8,-2.6
2019,M09,3.5,-5.4,-5.4,-5.4
2019,M10,3.6,2.9,-2.7,-5.3
2019,M11,3.5,-2.8,-5.4,-5.4
